feature,importance_mean
debt_to_income,0.005850000000000008
loan_amount,0.0007500000000000145
employment_years,0.00025000000000004186
term_months,5.000000000000837e-05
credit_score,1.3877787807814457e-17
past_delinquencies,1.3877787807814457e-17
num_credit_lines,0.0
loan_purpose,0.0
age,-4.999999999999449e-05
annual_income,-0.00029999999999996696
